
en,extra,value

Capon,,2d
"Calf, weaned",,10d
Cow,,72d
Cow good milker,,120d
Duck,,1d
"Falcon, trained gerfalcon",,48d
"Falcon, trained goshawk",,60d
Fowl (hen),,0.5d
Goose,,3d
"Horse, riding  hack",(min),300d
"Horse, trained for horse-archer",(min),480d
"Horse, draught horse",(min),200d
"Horse, palfrey",(min),680d
"Horse, trained destrier",(min),9600d
Ox,,108d
"Pig, in breeding country",,24d
"Pig, in a large city",,36d
Pigeon,,0.25d
"Sheep, in breeding country",,10d
"Sheep, in a large city",,17d

