
en,extra,value

"Broigne, hood",,28d
"Broigne, breeches",,308d
"Broigne, short",,308d
"Broigne, long",,455d
"Hauberk,hood",,120d
"Hauberk,breeches",,660d
"Hauberk,short",,660d
"Hauberk,long",,975d
"Hauberk,gloves",,60d
"Gambeson, hood",,32d
"Gambeson, breeches",,184d
"Gambeson, gambeson",,260d
"Gambeson, tunic",,176d
"Kurbul, bracelets",,25d
"Kurbul, brassards",,30d
"Kurbul, elbows",,10d
"Kurbul, back",,60d
"Kurbul, knees",,15d
"Kurbul, greves",,50d
"Kurbul, breast",,60d
"Kurbul, salad",,20d
"Kurbul, shoulders",,20d
"Lorica, short",,440d
"Lorica, long",,650d
"Lorica, breast",,280d
"Plate, bracelets",,125d
"Plate, brassards",,150d
"Plate, casque",,100d
"Plate, elbows",,50d
"Plate, back",,300d
"Plate, knees",,75d
"Plate, greves",,250d
"Plate, helm",,275d
"Plate, breast",,300d
"Plate, shoulders",,100d

"Shield, écu",,60d
"Shield, kite",,72d
"Shield, pavice",,96d
"Shield, rondache",,42d
"Shield, targe",,24d

