
en,extra,value

Crossbow,,60d
"Bow, short",,24d
"Bow, long",,36d
Arrows,12,15d
Spear,,60d
Javelin,,48d
Lance,,120d
Trident,,72d
Vouge,,84d
Morgenstern,,48d
Club,,12d
Warhammer,,90d
Mace,,84d
"Dagger",,24d
"Dague, keltan",,36d
"Dague, taburi",,20d
"Sword, bastard",,180d
"Sword, knight",,230d
"Sword, short",,90d
"Sword, thrust",,150d
"Sword, broad",,150d
"Sword, saber",,120d
Flail,,60d
"Axe, bardiche",,96d
"Axe, battle",,100d
"Axe, large",,70d
"Axe, throwing",,48d
"Axe, pickaxe",,90d

Quarterstaff,,36d
"Flail, peasant",,12d

Quiver,,8d
Sling,,6d

