
en,fr,extra,value

chest,,,5m
bag,,,5s
"bag, large",,,10s
"oil, for lamp",,5h,10s
torch,,,5s
rope,,20m 200kg,2m
string,,50m,2s
"rope, heavy",,30m 500kg, 4m
"bottle, glass",,,3s
"cup, glass",,,1s
box,,20cm side,1m
padlock,,,1m
lock,,,2m
file,,,5m
crowbar,,,1m
saw,,,1m
hammer,,,10s
mirror,,,1m
candle,,,5d
waterskin,,5l,1m
gourd,,2l,10s
"chain, iron",,1m,10m
wax,,1kg,10s
dye,,10m2,5s
"instruments, medical",,,3m
hourglass,,,1m
saddle,,,150m
harness and straps,,,15m
parchment,,1s,10d
quill,,,8d
inkwell and ink,,,2s
seal,sceau,,50m
perfume,,,100m
"instruments, geometry",,,10m

