
en,extra,value

Anvil,,2gp
Axe,,4sp
Bellows,,4gp
Block and Tackle,,3sp
Chisel,,1sp
Drill,,5sp
Hammer,,1sp
Hoe,,3sp
"Plough, iron",,15gp
Nails,12,3d
"Pick, heavy",,6sp
"Pick, medium",,3sp
Prybar,,2sp
Shovel,,3sp
Specialty tools,,2gp
"Spike, iron",,3d
"Spike, wooden",,1d

Air Bladder,,1sp
Bedroll,,2sp
Caltrops,bag,4sp
Fishing gear,,1sp
Grappling hook,,3sp
Holy Water,,25sp
Ladder,10ft,6sp
Pole,10ft,1sp
Rope,50ft,3sp
Tent,3 persons,10sp
Tent,1 person,5sp
Vial or bottle,,2sp
Waterskin,,1sp
Whistle,,5d

Hourglass,,10gp
Ink,,1d
Mirror,"silver, tiny",20gp

Cookpots,,1sp
"Tub, wooden",,2sp

