
en,extra,value

Arrows,20,2sp
Backpack,,2sp
Boots,,2sp
Candle,,1d

"Cart, one-horse",,50sp

"Clothes, common",,25sp
"Clothes, fine",,100sp
"Clothes, noble",,500sp

"Clothes, courtier outfit",,1000sp

Rations,1 week,5sp

Cooking utensils,,4sp
Crowbar,,4sp
Firewood,1 night,2d
"Flask, metal",1 pint,3sp
Grappling hook,,5sp
Hammer or small tool,,2sp
Healer's pouch,,5sp
Ironspikes,10,1sp
Lantern,,10sp
"Mirror, hand",,10sp
Oil,1 pint,1sp
Paper,10 sheets,1sp
Rope,50',2sp
Sack,,1sp
"Shovel, pick, or similar",,4sp
Tinder box,,1sp
Torch,,2d
Waterskin,1 gallon,1sp
Writing kit,,3sp

Artisan's Equipment,,50sp
Criminal Tools,,100sp
Dungeoneering Kit,,200sp
Performer's Implements,,100sp
Wilderness Travel Gear,,100sp

